"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","19:35:00",NA,NA,NA,269,27.5,NA,NA,NA,NA,1655840100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","19:40:00",NA,NA,NA,123,13.5,NA,NA,NA,NA,1655840400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","19:45:00",NA,NA,NA,101,13.5,NA,NA,NA,NA,1655840700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","19:50:00",NA,NA,NA,314,28.5,NA,NA,NA,NA,1655841000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","19:55:00",NA,NA,NA,224,26.5,NA,NA,NA,NA,1655841300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:00:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655841600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:05:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655841900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:10:00",NA,NA,NA,89,14,NA,NA,NA,NA,1655842200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:15:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655842500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:20:00",NA,NA,NA,659,57.5,NA,NA,NA,NA,1655842800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:25:00",NA,NA,NA,1218,114,NA,NA,NA,NA,1655843100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:30:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655843400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:35:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655843700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:40:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655844000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:45:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655844300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:50:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655844600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","20:55:00",NA,NA,NA,1218,114,NA,NA,NA,NA,1655844900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:00:00",NA,NA,NA,812,110,NA,NA,NA,NA,1655845200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:05:00",NA,NA,NA,457,56,NA,NA,NA,NA,1655845500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:10:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655845800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:15:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655846100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:20:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655846400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:25:00",NA,NA,NA,63,13.5,NA,NA,NA,NA,1655846700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:30:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655847000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:35:00",NA,NA,NA,228,28.5,NA,NA,NA,NA,1655847300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:40:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655847600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:45:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655847900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:50:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655848200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","21:55:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655848500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:00:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655848800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:05:00",NA,NA,NA,38,13.5,NA,NA,NA,NA,1655849100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:10:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655849400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:15:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655849700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:20:00",NA,NA,NA,38,13.5,NA,NA,NA,NA,1655850000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:25:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655850300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:30:00",NA,NA,NA,127,27,NA,NA,NA,NA,1655850600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:35:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655850900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:40:00",NA,NA,NA,355,54.5,NA,NA,NA,NA,1655851200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:45:00",NA,NA,NA,812,110,NA,NA,NA,NA,1655851500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:50:00",NA,NA,NA,1218,114,NA,NA,NA,NA,1655851800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","22:55:00",NA,NA,NA,1218,114,NA,NA,NA,NA,1655852100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:00:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655852400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:05:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655852700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:10:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655853000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:15:00",NA,NA,NA,1421,116,NA,NA,NA,NA,1655853300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:20:00",NA,NA,NA,1015,112,NA,NA,NA,NA,1655853600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:25:00",NA,NA,NA,812,110,NA,NA,NA,NA,1655853900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:30:00",NA,NA,NA,457,56,NA,NA,NA,NA,1655854200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:35:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655854500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:40:00",NA,NA,NA,89,14,NA,NA,NA,NA,1655854800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:45:00",NA,NA,NA,228,28.5,NA,NA,NA,NA,1655855100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:50:00",NA,NA,NA,177,27.5,NA,NA,NA,NA,1655855400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","21-Jun-2022","23:55:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655855700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:00:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655856000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:05:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655856300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:10:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655856600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:15:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655856900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:20:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655857200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:25:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655857500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:30:00",NA,NA,NA,87,14,NA,NA,NA,NA,1655857800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:35:00",NA,NA,NA,37,13.5,NA,NA,NA,NA,1655858100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:40:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655858400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:45:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655858700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:50:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655859000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","00:55:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655859300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:00:00",NA,NA,NA,62,13.5,NA,NA,NA,NA,1655859600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:05:00",NA,NA,NA,87,14,NA,NA,NA,NA,1655859900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:10:00",NA,NA,NA,546,56.5,NA,NA,NA,NA,1655860200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:15:00",NA,NA,NA,993,111.5,NA,NA,NA,NA,1655860500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:20:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655860800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:25:00",NA,NA,NA,1390,116.5,NA,NA,NA,NA,1655861100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:30:00",NA,NA,NA,1390,116.5,NA,NA,NA,NA,1655861400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:35:00",NA,NA,NA,1390,116.5,NA,NA,NA,NA,1655861700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:40:00",NA,NA,NA,1390,116.5,NA,NA,NA,NA,1655862000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:45:00",NA,NA,NA,1390,116.5,NA,NA,NA,NA,1655862300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:50:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655862600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","01:55:00",NA,NA,NA,795,109,NA,NA,NA,NA,1655862900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:00:00",NA,NA,NA,546,56.5,NA,NA,NA,NA,1655863200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:05:00",NA,NA,NA,224,28,NA,NA,NA,NA,1655863500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:10:00",NA,NA,NA,37,13.5,NA,NA,NA,NA,1655863800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:15:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655864100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:20:00",NA,NA,NA,37,13.5,NA,NA,NA,NA,1655864400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:25:00",NA,NA,NA,87,14,NA,NA,NA,NA,1655864700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:30:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655865000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:35:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655865300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:40:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655865600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:45:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655865900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:50:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655866200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","02:55:00",NA,NA,NA,37,13.5,NA,NA,NA,NA,1655866500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:00:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655866800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:05:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655867100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:10:00",NA,NA,NA,645,57.5,NA,NA,NA,NA,1655867400,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:15:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655867700,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:20:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655868000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:25:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655868300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:30:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655868600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:35:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655868900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:40:00",NA,NA,NA,1192,114,NA,NA,NA,NA,1655869200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:45:00",NA,NA,NA,993,111.5,NA,NA,NA,NA,1655869500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:50:00",NA,NA,NA,795,109,NA,NA,NA,NA,1655869800,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","03:55:00",NA,NA,NA,447,55.5,NA,NA,NA,NA,1655870100,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:00:00",NA,NA,NA,224,28,NA,NA,NA,NA,1655928000,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:05:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655928300,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:10:00",NA,NA,NA,124,26.5,NA,NA,NA,NA,1655928600,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:15:00",NA,NA,NA,174,27,NA,NA,NA,NA,1655928900,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:20:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655929200,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:25:00",NA,NA,NA,13,13,NA,NA,NA,NA,1655929500,"portal"
"ZcTag128_DUML",233109,1,"Transmission","Mk10","22-Jun-2022","20:30:00",NA,NA,NA,447,55.5,NA,NA,NA,NA,1655929800,"portal"
