deployid,sex,baseline_end,cee_start,cee_id,series_start,series_end,ser_length,cee_start_idx,baseline_start_idx,baseline_end_idx
ZcTag069,U,2018-05-25T16:33:00Z,2018-05-25T16:33:00Z,18_02,2018-05-24T15:35:00Z,2018-06-06T23:55:00Z,3797,301,1,301
ZcTag069,U,2018-05-30T17:49:00Z,2018-05-30T17:49:00Z,18_03,2018-05-24T15:35:00Z,2018-06-06T23:55:00Z,3797,1756,589,1756
ZcTag073,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-05T20:15:00Z,2018-08-18T23:55:00Z,3789,2830,1,2830
ZcTag073,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-05T20:15:00Z,2018-08-18T23:55:00Z,3789,2830,3118,3789
ZcTag075,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-06T16:30:00Z,2018-08-19T23:55:00Z,3738,2587,1,2587
ZcTag075,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-06T16:30:00Z,2018-08-19T23:55:00Z,3738,2587,2875,3738
ZcTag080,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-07T16:20:00Z,2018-08-20T19:55:00Z,3692,2301,1,2301
ZcTag080,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,18_07,2018-08-07T16:20:00Z,2018-08-20T19:55:00Z,3692,2301,2589,3692
ZcTag083,U,2019-05-21T15:04:50Z,2019-05-21T15:04:50Z,19_01,2019-05-11T20:25:00Z,2019-05-21T23:55:00Z,2923,2817,1,2817
ZcTag085,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-05-27T14:40:00Z,2019-06-09T19:55:00Z,3664,3032,1,3032
ZcTag085,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-05-27T14:40:00Z,2019-06-09T19:55:00Z,3664,3032,3320,3664
ZcTag087,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:20:00Z,2019-06-15T23:55:00Z,3620,1452,1,1452
ZcTag087,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:20:00Z,2019-06-15T23:55:00Z,3620,1452,1740,3620
ZcTag088,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:35:00Z,2019-06-15T23:55:00Z,3857,1449,1,1449
ZcTag088,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:35:00Z,2019-06-15T23:55:00Z,3857,1449,1737,3857
ZcTag089,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T16:25:00Z,2019-06-15T23:55:00Z,3835,1427,1,1427
ZcTag089,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T16:25:00Z,2019-06-15T23:55:00Z,3835,1427,1715,3835
ZcTag093,U,2019-08-06T17:37:43Z,2019-08-06T17:37:43Z,19_03,2019-07-30T13:05:00Z,2019-08-12T23:55:00Z,3683,2072,1,2072
ZcTag093,U,2019-08-06T17:37:43Z,2019-08-06T17:37:43Z,19_03,2019-07-30T13:05:00Z,2019-08-12T23:55:00Z,3683,2072,2360,3683
ZcTag095,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:25:00Z,2019-08-25T23:55:00Z,3739,2051,1,2051
ZcTag095,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:25:00Z,2019-08-25T23:55:00Z,3739,2051,2339,3739
ZcTag096,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:45:00Z,2019-08-25T23:55:00Z,3831,2047,1,2047
ZcTag096,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:45:00Z,2019-08-25T23:55:00Z,3831,2047,2335,3831
ZcTag097,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T17:10:00Z,2019-08-25T23:55:00Z,3826,2042,1,2042
ZcTag097,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T17:10:00Z,2019-08-25T23:55:00Z,3826,2042,2330,3826
ZcTag101,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T16:00:00Z,2020-08-20T23:55:00Z,3840,3478,1,3478
ZcTag101,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T16:00:00Z,2020-08-20T23:55:00Z,3840,3478,3766,3840
ZcTag102,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T17:50:00Z,2020-08-20T23:55:00Z,3770,3456,1,3456
ZcTag102,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T17:50:00Z,2020-08-20T23:55:00Z,3770,3456,3744,3770
ZcTag103,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T14:30:00Z,2020-08-21T23:55:00Z,3858,3208,1,3208
ZcTag103,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T14:30:00Z,2020-08-21T23:55:00Z,3858,3208,3496,3858
ZcTag105,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T15:15:00Z,2020-08-21T23:50:00Z,3848,3199,1,3199
ZcTag105,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T15:15:00Z,2020-08-21T23:50:00Z,3848,3199,3487,3848
ZcTag107,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-09T14:40:00Z,2020-08-22T23:55:00Z,3856,2918,1,2918
ZcTag107,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-09T14:40:00Z,2020-08-22T23:55:00Z,3856,2918,3206,3856
ZcTag109,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T14:20:00Z,2020-08-23T23:55:00Z,3860,2634,1,2634
ZcTag109,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T14:20:00Z,2020-08-23T23:55:00Z,3860,2634,2922,3860
ZcTag110,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T15:35:00Z,2020-08-23T23:55:00Z,3845,2619,1,2619
ZcTag110,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T15:35:00Z,2020-08-23T23:55:00Z,3845,2619,2907,3845
ZcTag111,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T16:25:00Z,2020-08-23T23:55:00Z,3835,2609,1,2609
ZcTag111,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-10T16:25:00Z,2020-08-23T23:55:00Z,3835,2609,2897,3835
ZcTag131,U,2022-08-04T12:30:00Z,2022-08-04T12:30:00Z,22_01,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,256,1,256
ZcTag131,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,597,544,597
ZcTag131,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T15:15:00Z,2022-08-08T23:55:00Z,1113,597,885,1113
ZcTag132,U,2022-08-04T12:30:00Z,2022-08-04T12:30:00Z,22_01,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,231,1,231
ZcTag132,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,572,519,572
ZcTag132,U,2022-08-05T16:55:00Z,2022-08-05T16:55:00Z,22_02,2022-08-03T17:20:00Z,2022-08-28T23:55:00Z,7280,572,860,7280
