ID,Age Class,Sex,Confidence,Reason,Tag ID,Biopsy,Genetics,Falcone Age Category,Falcone Age,Falcone Sex,Cascadia Age,Cascadia Gender,Comments
Zca_001,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_002,Adult,Male,High,Erupted teeth; genetics,,ZTS_13_032,Male,Reproductive,Adult,Male,,,Partial biopsy sample
Zca_003,Adult,Male,High,Erupted teeth; genetics,,ZTS_21_017,Male,Subadult- 2014,Subadult- 2014,Male,,,
Zca_003,Adult,Male,High,Erupted teeth; genetics,,,,Reproductive- 2018,Adult- 2018,Male,,,
Zca_004,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_005,Unknown,Unknown,,Brown; paler head,,,,Subadult ,Subadult,Male,,,
Zca_006,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag040,,,Reproductive,Adult,Male,Adult,Male,Teeth eroded (?)
Zca_007,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_008,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_009,Adult,Female,High,With calf in 2014,,,,No photo,No photo,No photo,,,
Zca_010,Adult,Male,Medium,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_011,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_012,Adult,Male,High,Erupted teeth,ZcTag030,,,Reproductive,Adult,Male,Adult,Male,
Zca_013,Adult,Male,Medium,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_014,Adult,Male,High,Erupted teeth,ZcTag038,,,Reproductive,Adult,Male,Adult,Male,
Zca_015,Adult,Male,High,Erupted teeth,ZcTag039,,,Adult- 2015,Adult,Male,Adult,,
Zca_015,Adult,Male,High,Erupted teeth,ZcTag039,,,Reproductive- 2018,Adult,Male,,,
Zca_016,Adult,Female,High,Seen with calf in 2022,,,,Adult,Adult,Female,,,Had been U/U- Brown; minimal scarring; no teeth
Zca_017,Unknown,Unknown, ,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_018,Adult,Male,High,Erupted teeth,ZcTag042,,,Reproductive,Adult,Male,Adult,Male,
Zca_019,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag043,,,Adult- 2014,Adult,Male,Adult,Male,Teeth eroded (?)
Zca_019,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag043,,,Reproductive- 2015,Adult,Male,,,
Zca_020,Adult,Male,High,Erupted teeth ,,,,Adult,Adult,Male,,,
Zca_021,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_022,Adult,Male,Medium,Moderate scarring,,,,Subadult- 2015,Subadult- 2015,Male,,,
Zca_022,Adult,Male,Medium,Moderate scarring,,,,Reproductive- 2020,Adult- 2020,Male,,,
Zca_023,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_024,Adult,Male,High,Erupted teeth,ZcTag046; ZcTag103,,,Adult- 2016,Adult,Male,Adult,Male,
Zca_024,Adult,Male,High,Erupted teeth,ZcTag046; ZcTag103,,,Reproductive- 2017,Adult,Male,,,
Zca_025,Adult,Male,Medium,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_026,Unknown,Unknown,,Some scarring,,,,Subadult ,Subadult ,Male,,,
Zca_027,Unknown,Unknown, ,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_028,Adult,Male,High,Erupted teeth,ZcTag051,,,Reproductive,Adult,Male,Adult,Male,
Zca_029,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag054,,,Adult,Adult,Male,Adult,Male,Teeth eroded (?)
Zca_030,Adult,Male,High,Erupted teeth- just beginning to erupt (?),ZcTag055,,,Reproductive,Adult,Male,Adult,Male,Teeth just erupting (?)
Zca_031,Adult,Male,High,Erupted teeth; missing a tooth,ZcTag056; Zc_20_231a,,,Adult- 2017,Adult,Male,Adult,Male,
Zca_031,Adult,Male,High,Erupted teeth; missing a tooth,ZcTag056; Zc_20_231a,,,Reproductive- 2020,Adult,Male,,,
Zca_032,Unknown,Unknown,,Brown; minimal scarring; no teeth (?),,,,Subadult ,Subadult ,Female,,,
Zca_033,Adult,Male,High,Erupted teeth; genetics,,ZTS_17_004,Male,Reproductive,Adult,Male,,,
Zca_034,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_035,Adult,Male,High,Erupted teeth; genetics; missing a tooth,ZcTag076,HJF_18_003,Male,Reproductive,Adult,Male,,,Missing one tooth
Zca_036,Unknown,Unknown,,Moderate scarring,,,,Subadult ,Subadult ,Male,,,
Zca_037,Adult,Male,High,Erupted teeth,ZcTag068,,,Reproductive,Adult,Male,Adult,,
Zca_038,Unknown,Unknown,,Brown; minimal scarring; no teeth (2021),,,,Adult,Adult,Female,,,
Zca_039,Adult ,Male,,Erupted teeth in 2018,,,,Adult/Subadult- 2017,Adult/Subadult- 2017,Female/Male,,,
Zca_039,Adult ,Male,,Erupted teeth in 2018,,,,Reproductive- 2018,Adult- 2018,Male,,,
Zca_040,Adult,Male,High,White animal; heavy scarring; no teeth,,,,Reproductive,Adult,Male,,,Teeth eroded (?)
Zca_041,Unknown,Unknown, ,Brown; minimal scarring; no teeth ,ZcTag061,,,Subadult ,Subadult ,Male,Adult,,
Zca_042,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag062,,,Subadult ,Subadult ,Male,Adult,,
Zca_043,Adult,Male,Medium,Moderate scarring; white head,,,,Subadult- 2017,Subadult- 2017,Male,,,
Zca_043,Adult,Male,Medium,Moderate scarring; white head,,,,Reproductive- 2020,Adult- 2020,Male,,,
Zca_044,Adult,Male,High,Erupted teeth,ZcTag063,,,Reproductive,Adult,Male,Adult,Male,
Zca_045,Unknown,Unknown,,Brown; minimal scarring; no teeth (?),ZcTag064,,,Subadult ,Subadult ,Male,Subadult,,
Zca_046,Adult,Male,High,Erupted teeth; broken jaw,ZcTag065,,,Reproductive,Adult,Male,Adult,Male,Broken jaw
Zca_047,Adult,Male,High,Erupted teeth,ZcTag066,,,Reproductive,Adult,Male,Adult,Male,Teeth just erupting 
Zca_048,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Male,,,
Zca_049,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_050,Adult,Male,High,Erupted teeth,ZcTag078,,,Reproductive,Adult,Male,Adult,Male,
Zca_051,Adult,Male,High,Erupted teeth,ZcTag069,,,Reproductive,Adult,Male,Adult,Male,
Zca_052,Adult,Male,High,Erupted teeth; maybe missing a tooth,ZcTag084,,,Reproductive,Adult,Male,,,
Zca_053,Adult,Male,High,Erupted teeth,ZcTag075,,,Reproductive,Adult,Male,Adult,Male,
Zca_054,Adult,Male,High,Erupted teeth,ZcTag080,,,Reproductive,Adult,Male,Adult,Male,
Zca_055,Adult,Male,High,Erupted teeth (2020); missing a tooth,ZcTag071; Zc_20_232a,,,Reproductive,Adult,Male,Adult,Male,Missing one tooth 
Zca_056,Adult,Male,High,White animal; heavy scarring; genetics; no teeth,ZcTag072,HJF_18_002,Male,Reproductive,Adult,Male,Adult,Male,Teeth eroded (?)
Zca_057,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag079,,,Juvenile,Juvenile,Unk,Adult/Sub-adult,Female/Male,
Zca_058,Adult,Male,High,White animal; heavy scarring; genetics; no teeth,,HJF_18_001,Male,Adult- 2018,Adult,Male,,,Teeth gone; empty sockets
Zca_058,Adult,Male,High,White animal; heavy scarring; genetics; no teeth,,HJF_18_001,Male,Reproductive- 2019,Adult,Male,,,
Zca_059,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_060,Adult,Male,Medium,Moderate scarring; white head,,,,Adult,Adult,Male,,,
Zca_061,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Male,,,
Zca_062,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_063,Adult,Male,High,Erupted teeth,ZcTag098,,,Reproductive,Adult,Male,,,
Zca_064,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_065,Adult,Female,High,With calf in 2019 (Zca_Rakes_148),,,,Reproductive,Adult,Female,,,
Zca_066,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_067,Adult,Female,High,With calf in 2018 (Zca_068),,,,Reproductive,Adult,Female,,,
Zca_068,Calf,Unknown,High,With mom in 2018 (Zca_067),,,,Calf- Older,Calf- older,Unk,,,
Zca_070,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_071,Unknown,Unknown,,Brown; minimal scarring,,,,Juvenile,Juvenile,Unk,,,
Zca_072,Unknown,Male,High,Brown; minimal scarring; no teeth; genetics,,HJF_21_005,Male,Subadult ,Subadult ,Male,,,
Zca_073,Unknown,Unknown,,Brown; minimal scarring,,,,Adult/Subadult ,Adult/Subadult ,Female,,,
Zca_074,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Female,,,
Zca_075,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult ,Subadult ,Male,,,
Zca_076,Adult,Male,High,Erupted teeth,ZcTag086,,,Reproductive,Adult,Male,,,
Zca_077,Adult,Male,High,Erupted teeth,ZcTag087,,,Reproductive,Adult,Male,,,
Zca_078,Adult,Male,High,Erupted teeth,ZcTag089,,,Reproductive,Adult,Male,,,
Zca_079,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_080,Unknown,Unknown,,Brown; moderate scarring,,,,Unk,Unk,Unk,,,
Zca_081,Unknown,Unknown,,Pale; moderate scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_082,Adult,Male,High,Heavy scarring;no teeth; jaw deformity,,,,Adult,Adult,Male,,,Teeth eroded (?); jaw deformity
Zca_083,Unknown,Unknown,,Brown; minimal scarring; no teeth; cookie cutters,,,,Subadult/Adult,Subadult/Adult,Male/Female,,,
Zca_084,Unknown,Unknown,,Brown; minnimal scarring,,,,Adult,Adult,Female,,,
Zca_085,Adult,Male,High,Erupted teeth; teeth very worn down,ZcTag090,,,Reproductive,Adult,Male,,,
Zca_086,Adult,Male,High,Erupted teeth,ZcTag091,,,Reproductive,Adult,Male,,,
Zca_087,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_088,Adult,Male,High,Erupted teeth,ZcTag092,,,Reproductive,Adult,Male,,,Teeth just erupting (?)
Zca_089,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_090,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
Zca_091,Adult,Male,High,Erupted teeth,ZcTag095,,,Reproductive,Adult,Male,,,
Zca_092,Adult,Male,High,Erupted teeth,ZcTag096,,,Reproductive,Adult,Male,,,
Zca_093,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_094,Unknown,Unknown,,Brown; minimal scarring,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_095,Unknown,Unknown,,Brown; minnimal scarring; probably no teeth,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_096,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_097,Adult,Male,High,White animal; heavy scarring; no teeth,ZcTag100,,,Reproductive,Adult,Male,,,
Zca_098,Adult,Male,High,White animal; heavy scarring; no teeth or missing one tooth,ZcTag102,,,Reproductive,Adult,Male,,,
Zca_099,Unknown,Unknown,,Brown; moderate scarring,,,,Subadult,Subadult ,Male,,,
Zca_100,Unknown,Unknown,,Brown; medium scarring; no teeth,ZcTag105,,,Subadult,Subadult ,Male,,,
Zca_101,Adult,Female,High,With calf in 2020 (Zca_102),ZcTag107,,,Reproductive,Adult,Female,,,
Zca_102,Calf,Unknown,High,With mom in 2020 (Zca_101),,,,Calf- older,Calf- older,Unk,,,
Zca_103,Unknown,Unknown,,Gray; minnimal scarring; probably no teeth,,,,Adult,Adult,Female,,,
Zca_104,Adult,Male,High,Erupted teeth; missing one teeth,ZcTag108,,,Reproductive,Adult,Male,,,
Zca_105,Unknown,Unknown,,Gray; moderate scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_106,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Male,,,
Zca_107,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Subadult,Subadult ,Female,,,
Zca_108,Unknown,Unknown,,Gray; medium scarring; probably no teeth,,,,Subadult,Subadult ,Male,,,
Zca_109,Unknown,Unknown,,Brown; no good view of the body or head,,,,Unk,Unk,Unk,,,
Zca_110,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_111,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_112,Unknown,Unknown,,Brown; medium scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_113,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_114,Adult,Male,High,Erupting teeth,,,,Reproductive,Adult,Male,,,
Zca_115,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Reproductive,Adult,Female,,,
Zca_116,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_Rakes_001,Unknown,Unknown,,Minimal scarring; white head,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_Rakes_002,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_Rakes_003,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag029,,,Juvenile- 2014,Juvenile- 2014,Female,Adult,Female,
Zca_Rakes_003,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag029,,,Subadult- 2018,Subadult- 2018,Female,,,
Zca_Rakes_007,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_008,Adult,Female,High,With calf in 2014,ZcTag047,,,Reproductive,Adult,Female,Subadult ,Unkown,
Zca_Rakes_009,Unknown,Unknown,,Minimal scarring; white head,,,,Adult,Adult,Female,,,
Zca_Rakes_010,Adult,Male,Med High,White animal; heavy scarring; possible teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_011,Adult,Male,Med High,Erupted teeth (?); not a lot of scarring,ZcTag070,,,Reproductive,Adult,Male,Adult,Male,
Zca_Rakes_012,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_013,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_014,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_016,Unknown,Unknown,,Light gray; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_017,Adult,Male,Medium,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_Rakes_018,Adult,Female,,Minimal scarring; no teeth; genetics; size for Adult,,ZTS_15_017,Female,Adult,Adult,Female,,,
Zca_Rakes_019,Unknown,Unknown,,Brown; minimal scarring; white head ,,,,Adult,Adult,Female,,,
Zca_Rakes_020,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_021,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_022,Adult,Male,Med High,Heavy scarring; white head,ZcTag041,,,Adult,Adult,Male,Adult,,
Zca_Rakes_023,Unknown,Unknown,,Gray; minimal scarring; no teeth,,,,Subadult- 2015,Subadult- 2015,Female,,,
Zca_Rakes_023,Unknown,Unknown,,Gray; minimal scarring; no teeth,,,,Adult- 2019,Adult- 2019,Female,,,
Zca_Rakes_025,Unknown,Unknown,,Gray; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_026,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_027,Adult,Male,,Erupted teeth; genetics,,,Male,Subadult- 2015,Subadult- 2015,Male,,,Had scored as U/U but changed to A/M in 2022- 2020 photo of teeth
